,Unnamed: 0,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6,car:7,truck:4,person:4,car:8,car:10,car:13,motorcycle:10,car:15,person:8,truck:13
5,motorcycle:6,336.0,369,372,588.0,105,0.0,,,,,,,,,,
0,car:1,0.0,999,964,1006.0,401,418.0,,,,,,,,,,
1,motorcycle:2,999.0,0,326,1985.0,636,584.0,,,,,,,,,,
2,person:3,964.0,326,0,1970.0,562,564.0,,,,,,,,,,
3,car:4,1006.0,1985,1970,0.0,1408,1420.0,,,,,,,,,,
4,person:5,401.0,636,562,1408.0,0,102.0,,,,,,,,,,
5,motorcycle:6,418.0,584,564,1420.0,102,0.0,,,,,,,,,,
0,car:1,0.0,1008,967,1009.0,405,425.0,,,,,,,,,,
1,motorcycle:2,1008.0,0,333,1996.0,641,584.0,,,,,,,,,,
2,person:3,967.0,333,0,1976.0,561,567.0,,,,,,,,,,
3,car:4,1009.0,1996,1976,0.0,1414,1427.0,,,,,,,,,,
4,person:5,405.0,641,561,1414.0,0,113.0,,,,,,,,,,
5,motorcycle:6,425.0,584,567,1427.0,113,0.0,,,,,,,,,,
0,car:1,0.0,1009,974,1013.0,409,427.0,,,,,,,,,,
1,motorcycle:2,1009.0,0,335,2001.0,640,583.0,,,,,,,,,,
2,person:3,974.0,335,0,1987.0,564,571.0,,,,,,,,,,
3,car:4,1013.0,2001,1987,0.0,1422,1434.0,,,,,,,,,,
4,person:5,409.0,640,564,1422.0,0,115.0,,,,,,,,,,
5,motorcycle:6,427.0,583,571,1434.0,115,0.0,,,,,,,,,,
0,car:1,0.0,1016,979,1016.0,411,430.0,,,,,,,,,,
1,motorcycle:2,1016.0,0,347,2009.0,649,587.0,,,,,,,,,,
2,person:3,979.0,347,0,1995.0,567,577.0,,,,,,,,,,
3,car:4,1016.0,2009,1995,0.0,1427,1438.0,,,,,,,,,,
4,person:5,411.0,649,567,1427.0,0,127.0,,,,,,,,,,
5,motorcycle:6,430.0,587,577,1438.0,127,0.0,,,,,,,,,,
0,car:1,0.0,1019,984,1018.0,419,429.0,,,,,,,,,,
1,motorcycle:2,1019.0,0,358,2013.0,644,591.0,,,,,,,,,,
2,person:3,984.0,358,0,2002.0,565,586.0,,,,,,,,,,
3,car:4,1018.0,2013,2002,0.0,1437,1439.0,,,,,,,,,,
4,person:5,419.0,644,565,1437.0,0,124.0,,,,,,,,,,
5,motorcycle:6,429.0,591,586,1439.0,124,0.0,,,,,,,,,,
0,car:1,0.0,1023,985,1025.0,422,428.0,,,,,,,,,,
1,motorcycle:2,1023.0,0,343,2024.0,644,597.0,,,,,,,,,,
2,person:3,985.0,343,0,2010.0,563,583.0,,,,,,,,,,
3,car:4,1025.0,2024,2010,0.0,1447,1445.0,,,,,,,,,,
4,person:5,422.0,644,563,1447.0,0,119.0,,,,,,,,,,
5,motorcycle:6,428.0,597,583,1445.0,119,0.0,,,,,,,,,,
0,car:1,0.0,1020,987,1032.0,422,428.0,,,,,,,,,,
1,motorcycle:2,1020.0,0,342,2030.0,638,593.0,,,,,,,,,,
2,person:3,987.0,342,0,2019.0,565,586.0,,,,,,,,,,
3,car:4,1032.0,2030,2019,0.0,1454,1452.0,,,,,,,,,,
4,person:5,422.0,638,565,1454.0,0,117.0,,,,,,,,,,
5,motorcycle:6,428.0,593,586,1452.0,117,0.0,,,,,,,,,,
0,car:1,0.0,1029,991,1036.0,424,430.0,,,,,,,,,,
1,motorcycle:2,1029.0,0,348,2042.0,647,601.0,,,,,,,,,,
2,person:3,991.0,348,0,2028.0,567,588.0,,,,,,,,,,
